,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,OU_O05,OU_U05,OU_O15,OU_U15,OU_O25,OU_U25,BTTS_Yes,BTTS_No,season_id,match_id,saison,nom_compétition,pays
103000,2015-03-07 01:00:00,Veracruz,León,1,0,H,1,0,H,2.69,3.26,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85533,2014,Mexico Liga MX,Mexico
41036,2015-03-07 01:30:00,Querétaro,Guadalajara,1,0,H,0,0,D,2.48,3.17,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85534,2014,Mexico Liga MX,Mexico
103002,2015-03-07 23:00:00,Cruz Azul,Atlas,1,1,D,1,0,H,1.63,3.67,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85535,2014,Mexico Liga MX,Mexico
41038,2015-03-08 01:00:00,Santos Laguna,Tijuana,1,1,D,1,0,H,2.1,3.57,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85536,2014,Mexico Liga MX,Mexico
41039,2015-03-08 01:00:00,Monterrey,Toluca,3,2,H,3,1,H,2.44,3.22,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85537,2014,Mexico Liga MX,Mexico
103005,2015-03-08 02:06:00,Pachuca,América,0,0,D,0,0,D,3.27,3.39,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85538,2014,Mexico Liga MX,Mexico
41041,2015-03-08 03:00:00,Chiapas,Puebla,2,2,D,0,0,D,2.21,3.37,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85539,2014,Mexico Liga MX,Mexico
41043,2015-03-08 23:00:00,Leones Negros de la Universidad de Guadalajara,Tigres UANL,2,1,H,1,0,H,2.67,3.08,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85541,2014,Mexico Liga MX,Mexico
41044,2015-03-14 01:30:00,Morelia,Leones Negros de la Universidad de Guadalajara,0,1,A,0,1,A,2.39,3.22,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85542,2014,Mexico Liga MX,Mexico
41045,2015-03-14 03:30:00,Tijuana,Veracruz,3,1,H,1,1,D,2.0,3.35,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85543,2014,Mexico Liga MX,Mexico
41046,2015-03-14 23:00:00,Puebla,Guadalajara,1,2,A,1,0,H,2.48,3.13,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85544,2014,Mexico Liga MX,Mexico
41047,2015-03-14 23:00:00,América,Santos Laguna,1,0,H,0,0,D,1.83,3.69,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85545,2014,Mexico Liga MX,Mexico
103013,2015-03-15 01:00:00,Tigres UANL,Pachuca,2,1,H,1,1,D,1.96,3.32,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85546,2014,Mexico Liga MX,Mexico
103014,2015-03-15 02:06:00,León,Cruz Azul,2,2,D,1,2,A,2.55,3.28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85547,2014,Mexico Liga MX,Mexico
103015,2015-03-15 03:00:00,Atlas,Monterrey,2,1,H,0,0,D,2.37,3.15,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85548,2014,Mexico Liga MX,Mexico
41051,2015-03-15 03:00:00,Chiapas,Pumas UNAM,0,2,A,0,1,A,2.04,3.41,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85549,2014,Mexico Liga MX,Mexico
41052,2015-03-15 18:00:00,Toluca,Querétaro,1,0,H,0,0,D,2.0,3.37,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85550,2014,Mexico Liga MX,Mexico
103018,2015-03-21 01:30:00,Querétaro,Atlas,2,0,H,0,0,D,2.33,3.21,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85551,2014,Mexico Liga MX,Mexico
41054,2015-03-21 02:30:00,Veracruz,América,4,0,H,2,0,H,3.13,3.12,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85552,2014,Mexico Liga MX,Mexico
41055,2015-03-21 03:30:00,Santos Laguna,Tigres UANL,2,2,D,1,0,H,2.42,3.31,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85553,2014,Mexico Liga MX,Mexico
41056,2015-03-21 23:00:00,Cruz Azul,Tijuana,2,1,H,1,1,D,2.1,3.36,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85554,2014,Mexico Liga MX,Mexico
41057,2015-03-22 01:00:00,Monterrey,León,5,1,H,2,1,H,2.48,3.36,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85555,2014,Mexico Liga MX,Mexico
41058,2015-03-22 02:06:00,Pachuca,Morelia,2,0,H,1,0,H,1.99,3.49,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85556,2014,Mexico Liga MX,Mexico
103024,2015-03-22 03:00:00,Leones Negros de la Universidad de Guadalajara,Chiapas,0,1,A,0,1,A,2.39,3.21,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85557,2014,Mexico Liga MX,Mexico
103025,2015-03-22 18:00:00,Pumas UNAM,Puebla,2,1,H,1,1,D,2.2,3.27,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85558,2014,Mexico Liga MX,Mexico
103026,2015-03-22 23:00:00,Guadalajara,Toluca,1,0,H,0,0,D,2.34,3.18,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85559,2014,Mexico Liga MX,Mexico
41062,2015-04-04 01:30:00,Morelia,Santos Laguna,0,1,A,0,0,D,2.58,3.44,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85560,2014,Mexico Liga MX,Mexico
103029,2015-04-04 23:00:00,América,Cruz Azul,1,0,H,0,0,D,2.0,3.37,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85562,2014,Mexico Liga MX,Mexico
103028,2015-04-04 23:00:00,Puebla,Toluca,0,1,A,0,0,D,2.5,3.21,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85561,2014,Mexico Liga MX,Mexico
103030,2015-04-05 01:00:00,Tigres UANL,Veracruz,3,1,H,3,1,H,1.92,3.39,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85563,2014,Mexico Liga MX,Mexico
41066,2015-04-05 01:00:00,Chiapas,Pachuca,2,2,D,1,0,H,2.12,3.39,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85564,2014,Mexico Liga MX,Mexico
41067,2015-04-05 02:06:00,León,Querétaro,4,5,A,1,2,A,2.06,3.52,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85565,2014,Mexico Liga MX,Mexico
103034,2015-04-05 03:00:00,Atlas,Guadalajara,1,1,D,1,1,D,2.49,3.1,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85567,2014,Mexico Liga MX,Mexico
41068,2015-04-05 03:00:00,Tijuana,Monterrey,3,4,A,1,2,A,1.94,3.51,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85566,2014,Mexico Liga MX,Mexico
41070,2015-04-05 17:00:00,Pumas UNAM,Leones Negros de la Universidad de Guadalajara,2,0,H,0,0,D,2.06,3.31,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85568,2014,Mexico Liga MX,Mexico
41071,2015-04-11 00:30:00,Querétaro,Tijuana,2,1,H,2,1,H,2.36,3.41,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85569,2014,Mexico Liga MX,Mexico
41072,2015-04-11 01:30:00,Veracruz,Morelia,1,1,D,0,0,D,1.87,3.62,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85570,2014,Mexico Liga MX,Mexico
41073,2015-04-11 02:30:00,Santos Laguna,Chiapas,4,3,H,2,2,D,2.03,3.59,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85571,2014,Mexico Liga MX,Mexico
103039,2015-04-11 22:00:00,Cruz Azul,Tigres UANL,2,0,H,2,0,H,2.31,3.21,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85572,2014,Mexico Liga MX,Mexico
103040,2015-04-12 00:00:00,Monterrey,América,1,1,D,1,1,D,2.59,3.29,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85573,2014,Mexico Liga MX,Mexico
103041,2015-04-12 01:06:00,Pachuca,Pumas UNAM,3,1,H,1,0,H,2.08,3.42,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85574,2014,Mexico Liga MX,Mexico
41077,2015-04-12 02:00:00,Leones Negros de la Universidad de Guadalajara,Puebla,1,1,D,0,0,D,2.42,3.17,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85575,2014,Mexico Liga MX,Mexico
41078,2015-04-12 17:00:00,Toluca,Atlas,0,0,D,0,0,D,2.07,3.36,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85576,2014,Mexico Liga MX,Mexico
41079,2015-04-12 22:00:00,Guadalajara,León,1,0,H,0,0,D,2.18,3.44,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85577,2014,Mexico Liga MX,Mexico
41080,2015-04-18 00:30:00,Morelia,Cruz Azul,2,0,H,1,0,H,3.38,3.31,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85578,2014,Mexico Liga MX,Mexico
103046,2015-04-18 01:30:00,Chiapas,Veracruz,1,1,D,0,1,A,2.43,3.31,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85579,2014,Mexico Liga MX,Mexico
103047,2015-04-18 02:30:00,Tijuana,Guadalajara,1,1,D,1,0,H,2.13,3.4,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85580,2014,Mexico Liga MX,Mexico
41083,2015-04-18 22:00:00,Puebla,Atlas,0,1,A,0,1,A,2.28,3.29,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85581,2014,Mexico Liga MX,Mexico
41084,2015-04-18 22:00:00,América,Querétaro,0,4,A,0,2,A,1.65,3.95,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85582,2014,Mexico Liga MX,Mexico
41085,2015-04-19 00:00:00,Tigres UANL,Monterrey,3,0,H,0,0,D,1.91,3.58,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85583,2014,Mexico Liga MX,Mexico
41086,2015-04-19 01:06:00,León,Toluca,1,1,D,0,0,D,2.2,3.57,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85584,2014,Mexico Liga MX,Mexico
103052,2015-04-19 17:00:00,Pumas UNAM,Santos Laguna,1,0,H,1,0,H,2.45,3.47,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85585,2014,Mexico Liga MX,Mexico
41088,2015-04-19 22:00:00,Leones Negros de la Universidad de Guadalajara,Pachuca,1,1,D,0,1,A,2.58,3.14,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85586,2014,Mexico Liga MX,Mexico
103054,2015-04-25 00:30:00,Querétaro,Tigres UANL,1,3,A,0,3,A,2.66,3.35,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85587,2014,Mexico Liga MX,Mexico
103055,2015-04-25 01:30:00,Veracruz,Pumas UNAM,3,3,D,2,1,H,2.13,3.35,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85588,2014,Mexico Liga MX,Mexico
41091,2015-04-25 02:30:00,Santos Laguna,Leones Negros de la Universidad de Guadalajara,1,0,H,1,0,H,1.88,3.62,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85589,2014,Mexico Liga MX,Mexico
103057,2015-04-25 22:00:00,Cruz Azul,Chiapas,0,1,A,0,1,A,1.68,3.81,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85590,2014,Mexico Liga MX,Mexico
103058,2015-04-26 00:00:00,Monterrey,Morelia,1,0,H,0,0,D,1.73,3.8,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85591,2014,Mexico Liga MX,Mexico
103059,2015-04-26 01:06:00,Pachuca,Puebla,2,1,H,0,1,A,1.95,3.44,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85592,2014,Mexico Liga MX,Mexico
41095,2015-04-26 02:00:00,Atlas,León,3,2,H,1,2,A,2.17,3.45,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85593,2014,Mexico Liga MX,Mexico
103061,2015-04-26 17:00:00,Toluca,Tijuana,2,0,H,1,0,H,2.19,3.43,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85594,2014,Mexico Liga MX,Mexico
103062,2015-04-26 23:30:00,Guadalajara,América,1,1,D,0,1,A,2.75,3.15,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85595,2014,Mexico Liga MX,Mexico
41098,2015-05-02 00:30:00,Morelia,Querétaro,1,2,A,0,0,D,3.16,3.38,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85596,2014,Mexico Liga MX,Mexico
41099,2015-05-02 02:30:00,Tijuana,Atlas,1,2,A,1,0,H,2.1,3.43,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85597,2014,Mexico Liga MX,Mexico
103065,2015-05-02 22:00:00,Puebla,León,2,0,H,2,0,H,2.19,3.45,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85598,2014,Mexico Liga MX,Mexico
103067,2015-05-03 00:00:00,Tigres UANL,Guadalajara,2,1,H,2,0,H,1.86,3.47,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85600,2014,Mexico Liga MX,Mexico
41101,2015-05-03 00:00:00,América,Toluca,3,1,H,1,0,H,1.83,3.55,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85599,2014,Mexico Liga MX,Mexico
103068,2015-05-03 01:06:00,Pachuca,Santos Laguna,2,3,A,1,1,D,2.38,3.49,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85601,2014,Mexico Liga MX,Mexico
103069,2015-05-03 02:00:00,Chiapas,Monterrey,0,2,A,0,2,A,2.4,3.42,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85602,2014,Mexico Liga MX,Mexico
41105,2015-05-03 17:00:00,Pumas UNAM,Cruz Azul,0,1,A,0,1,A,3.02,3.26,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85603,2014,Mexico Liga MX,Mexico
103071,2015-05-03 22:00:00,Leones Negros de la Universidad de Guadalajara,Veracruz,1,2,A,1,0,H,2.65,3.17,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85604,2014,Mexico Liga MX,Mexico
103072,2015-05-09 00:30:00,Querétaro,Chiapas,1,0,H,0,0,D,1.81,3.75,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85605,2014,Mexico Liga MX,Mexico
103073,2015-05-09 01:30:00,Veracruz,Pachuca,1,2,A,0,0,D,2.29,3.42,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85606,2014,Mexico Liga MX,Mexico
41109,2015-05-10 00:00:00,Monterrey,Pumas UNAM,2,2,D,0,0,D,1.9,3.7,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85607,2014,Mexico Liga MX,Mexico
41110,2015-05-10 01:06:00,León,Tijuana,6,2,H,4,1,H,2.48,3.54,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85608,2014,Mexico Liga MX,Mexico
41112,2015-05-10 01:30:00,Cruz Azul,Leones Negros de la Universidad de Guadalajara,0,2,A,0,1,A,1.52,4.16,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85610,2014,Mexico Liga MX,Mexico
41111,2015-05-10 01:30:00,Santos Laguna,Puebla,2,2,D,1,1,D,1.81,3.87,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85609,2014,Mexico Liga MX,Mexico
41113,2015-05-10 02:00:00,Atlas,América,1,2,A,0,0,D,3.02,3.38,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85611,2014,Mexico Liga MX,Mexico
103079,2015-05-10 17:00:00,Toluca,Tigres UANL,0,0,D,0,0,D,2.82,3.26,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85612,2014,Mexico Liga MX,Mexico
103080,2015-05-10 22:00:00,Guadalajara,Morelia,2,3,A,1,2,A,1.87,3.54,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85613,2014,Mexico Liga MX,Mexico
41116,2015-05-14 00:00:00,Santos Laguna,Tigres UANL,1,1,D,1,1,D,2.45,3.33,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85614,2014,Mexico Liga MX,Mexico
41117,2015-05-14 02:06:00,Pachuca,América,3,2,H,3,1,H,3.34,3.34,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85615,2014,Mexico Liga MX,Mexico
103083,2015-05-15 00:00:00,Querétaro,Veracruz,2,1,H,1,1,D,2.12,3.3,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85616,2014,Mexico Liga MX,Mexico
103084,2015-05-15 02:00:00,Guadalajara,Atlas,0,0,D,0,0,D,2.5,3.17,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85617,2014,Mexico Liga MX,Mexico
103085,2015-05-16 22:00:00,América,Pachuca,3,4,A,1,1,D,1.67,4.05,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85618,2014,Mexico Liga MX,Mexico
41121,2015-05-17 00:00:00,Tigres UANL,Santos Laguna,0,1,A,0,0,D,1.91,3.55,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85619,2014,Mexico Liga MX,Mexico
41122,2015-05-17 23:00:00,Atlas,Guadalajara,1,4,A,1,3,A,2.36,3.23,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85620,2014,Mexico Liga MX,Mexico
41123,2015-05-18 01:00:00,Veracruz,Querétaro,2,2,D,0,1,A,2.37,3.27,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85621,2014,Mexico Liga MX,Mexico
103089,2015-05-22 01:06:00,Pachuca,Querétaro,2,0,H,2,0,H,2.14,3.37,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85622,2014,Mexico Liga MX,Mexico
103090,2015-05-22 03:00:00,Santos Laguna,Guadalajara,0,0,D,0,0,D,2.03,3.44,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85623,2014,Mexico Liga MX,Mexico
41126,2015-05-25 00:00:00,Guadalajara,Santos Laguna,0,3,A,0,1,A,2.25,3.29,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85624,2014,Mexico Liga MX,Mexico
103092,2015-05-25 02:00:00,Querétaro,Pachuca,2,0,H,1,0,H,2.02,3.52,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85625,2014,Mexico Liga MX,Mexico
103093,2015-05-29 01:30:00,Santos Laguna,Querétaro,5,0,H,3,0,H,2.05,3.56,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85626,2014,Mexico Liga MX,Mexico
103094,2015-06-01 01:30:00,Querétaro,Santos Laguna,3,0,H,3,0,H,2.17,3.63,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,85627,2014,Mexico Liga MX,Mexico
40462,2015-07-25 00:30:00,Veracruz,Guadalajara,2,0,H,0,0,D,2.37,3.15,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84960,2015,Mexico Liga MX,Mexico
40463,2015-07-25 22:00:00,Cruz Azul,Morelia,0,3,A,0,2,A,1.64,3.87,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84961,2015,Mexico Liga MX,Mexico
40464,2015-07-26 00:00:00,Tigres UANL,Toluca,0,1,A,0,1,A,1.92,3.42,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84962,2015,Mexico Liga MX,Mexico
102430,2015-07-26 01:06:00,Pachuca,Tijuana,2,1,H,1,0,H,2.22,3.37,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84963,2015,Mexico Liga MX,Mexico
40466,2015-07-26 01:30:00,Atlas,Querétaro,0,2,A,0,1,A,2.21,3.27,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84964,2015,Mexico Liga MX,Mexico
40467,2015-07-26 02:00:00,Santos Laguna,León,1,3,A,0,1,A,2.14,3.62,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84965,2015,Mexico Liga MX,Mexico
102433,2015-07-26 02:00:00,Dorados,Chiapas,0,0,D,0,0,D,2.49,3.21,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84966,2015,Mexico Liga MX,Mexico
102434,2015-07-26 17:00:00,Pumas UNAM,Monterrey,3,0,H,3,0,H,2.6,3.3,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84967,2015,Mexico Liga MX,Mexico
40470,2015-07-26 22:00:00,Puebla,América,4,2,H,3,1,H,3.53,3.35,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84968,2015,Mexico Liga MX,Mexico
40471,2015-08-01 00:30:00,Querétaro,Pachuca,1,2,A,1,1,D,2.35,3.43,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84969,2015,Mexico Liga MX,Mexico
102437,2015-08-01 02:30:00,Tijuana,Dorados,1,2,A,1,0,H,2.13,3.42,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84970,2015,Mexico Liga MX,Mexico
102438,2015-08-01 22:00:00,América,Atlas,1,3,A,1,1,D,1.62,3.92,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84971,2015,Mexico Liga MX,Mexico
40474,2015-08-02 01:06:00,León,Veracruz,4,1,H,0,1,A,1.81,3.72,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84972,2015,Mexico Liga MX,Mexico
102441,2015-08-02 02:00:00,Chiapas,Santos Laguna,2,1,H,0,1,A,2.36,3.49,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84974,2015,Mexico Liga MX,Mexico
40477,2015-08-02 17:00:00,Toluca,Pumas UNAM,2,1,H,1,0,H,2.1,3.39,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84975,2015,Mexico Liga MX,Mexico
40478,2015-08-02 22:00:00,Guadalajara,Cruz Azul,0,1,A,0,0,D,2.51,3.15,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84976,2015,Mexico Liga MX,Mexico
102444,2015-08-08 00:30:00,Veracruz,Chiapas,2,1,H,0,1,A,2.23,3.33,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84977,2015,Mexico Liga MX,Mexico
102445,2015-08-08 02:30:00,Santos Laguna,Tijuana,0,1,A,0,0,D,1.97,3.72,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84978,2015,Mexico Liga MX,Mexico
102446,2015-08-08 22:00:00,Cruz Azul,León,2,0,H,1,0,H,2.14,3.58,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84979,2015,Mexico Liga MX,Mexico
102447,2015-08-09 01:06:00,Pachuca,América,0,3,A,0,1,A,2.21,3.52,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84980,2015,Mexico Liga MX,Mexico
40483,2015-08-09 01:30:00,Atlas,Monterrey,0,3,A,0,2,A,2.56,3.3,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84981,2015,Mexico Liga MX,Mexico
40484,2015-08-09 02:00:00,Dorados,Querétaro,1,1,D,0,0,D,2.5,3.38,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84982,2015,Mexico Liga MX,Mexico
102450,2015-08-09 17:00:00,Toluca,Morelia,0,1,A,0,0,D,2.26,3.38,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84983,2015,Mexico Liga MX,Mexico
102451,2015-08-09 22:00:00,Puebla,Pumas UNAM,3,2,H,1,1,D,2.24,3.4,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84984,2015,Mexico Liga MX,Mexico
102452,2015-08-10 00:00:00,Tigres UANL,Guadalajara,2,2,D,2,0,H,1.86,3.41,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84985,2015,Mexico Liga MX,Mexico
102454,2015-08-12 01:30:00,Querétaro,Santos Laguna,1,2,A,1,1,D,2.27,3.5,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84987,2015,Mexico Liga MX,Mexico
102453,2015-08-12 01:30:00,América,Dorados,4,0,H,1,0,H,1.55,4.24,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84986,2015,Mexico Liga MX,Mexico
40490,2015-08-12 02:00:00,Monterrey,Pachuca,4,3,H,1,2,A,2.21,3.52,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84988,2015,Mexico Liga MX,Mexico
40491,2015-08-12 03:00:00,Tijuana,Veracruz,1,3,A,0,0,D,2.0,3.5,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84989,2015,Mexico Liga MX,Mexico
102457,2015-08-13 01:00:00,Puebla,Toluca,1,0,H,1,0,H,2.51,3.3,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84990,2015,Mexico Liga MX,Mexico
40493,2015-08-13 01:06:00,León,Tigres UANL,2,1,H,2,0,H,2.23,3.53,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84991,2015,Mexico Liga MX,Mexico
102459,2015-08-13 01:30:00,Guadalajara,Morelia,2,0,H,2,0,H,2.53,3.23,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84992,2015,Mexico Liga MX,Mexico
102461,2015-08-13 02:00:00,Chiapas,Cruz Azul,2,1,H,1,1,D,2.63,3.26,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84994,2015,Mexico Liga MX,Mexico
102460,2015-08-13 02:00:00,Pumas UNAM,Atlas,5,0,H,3,0,H,2.15,3.39,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,84993,2015,Mexico Liga MX,Mexico
