,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,OU_O05,OU_U05,OU_O15,OU_U15,OU_O25,OU_U25,BTTS_Yes,BTTS_No,season_id,match_id,saison,nom_compétition,pays
103458,2012-08-11 22:00:00,América,Atlas,1,1,D,0,1,A,1.78,3.84,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85991,2012,Mexico Liga MX,Mexico
103459,2012-08-12 00:00:00,Pachuca,Tijuana,2,2,D,0,1,A,2.06,3.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85992,2012,Mexico Liga MX,Mexico
103460,2012-08-12 00:00:00,Tigres UANL,Querétaro,2,2,D,0,0,D,1.35,5.17,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85993,2012,Mexico Liga MX,Mexico
103461,2012-08-12 02:00:00,San Luis,Monterrey,1,1,D,0,1,A,3.14,3.45,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85994,2012,Mexico Liga MX,Mexico
103462,2012-08-12 17:00:00,Pumas UNAM,Toluca,1,2,A,1,1,D,2.18,3.44,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85995,2012,Mexico Liga MX,Mexico
103463,2012-08-12 17:00:00,Puebla,Cruz Azul,0,1,A,0,0,D,2.96,3.37,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85996,2012,Mexico Liga MX,Mexico
103464,2012-08-12 23:00:00,Guadalajara,Morelia,1,1,D,0,1,A,2.4,3.34,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85997,2012,Mexico Liga MX,Mexico
103466,2012-08-18 02:30:00,Morelia,Puebla,3,0,H,2,0,H,1.75,3.89,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85999,2012,Mexico Liga MX,Mexico
103467,2012-08-18 02:30:00,Cruz Azul,León,1,1,D,0,0,D,2.37,3.41,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86000,2012,Mexico Liga MX,Mexico
103468,2012-08-18 22:00:00,Querétaro,América,0,4,A,0,3,A,3.53,3.55,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86001,2012,Mexico Liga MX,Mexico
