,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,2022,2022-07-02,Mazatlán,Puebla,2,4,0,2,A
1,2022,2022-07-02,Guadalajara Chivas,FC Juarez,0,0,0,0,D
2,2022,2022-07-02,Necaxa,Toluca,1,3,1,0,A
3,2022,2022-07-03,Tigres UANL,Cruz Azul,2,3,0,2,A
4,2022,2022-07-03,Club America,Atlas,0,0,0,0,D
5,2022,2022-07-03,U.N.A.M. - Pumas,Club Tijuana,1,1,0,1,D
6,2022,2022-07-03,Atletico San Luis,Leon,1,2,0,1,A
7,2022,2022-07-04,Santos Laguna,Monterrey,4,3,2,2,H
8,2022,2022-07-05,Pachuca,Club Queretaro,2,0,1,1,H
9,2022,2022-07-09,Mazatlán,Tigres UANL,0,1,0,0,A
10,2022,2022-07-09,Club Tijuana,FC Juarez,0,2,0,0,A
11,2022,2022-07-09,Puebla,Santos Laguna,1,0,1,0,H
12,2022,2022-07-10,Leon,U.N.A.M. - Pumas,3,3,0,3,D
13,2022,2022-07-10,Guadalajara Chivas,Atletico San Luis,0,1,0,0,A
14,2022,2022-07-10,Monterrey,Club America,3,2,1,2,H
15,2022,2022-07-10,Cruz Azul,Pachuca,1,2,0,1,A
16,2022,2022-07-10,Toluca,Atlas,3,2,3,0,H
17,2022,2022-07-10,Club Queretaro,Necaxa,1,2,1,0,A
18,2022,2022-07-14,Club America,Toluca,1,0,0,1,H
19,2022,2022-07-16,Puebla,Leon,1,1,1,0,D
20,2022,2022-07-16,FC Juarez,Club Queretaro,1,1,1,0,D
21,2022,2022-07-16,Atlas,Cruz Azul,3,2,1,2,H
22,2022,2022-07-17,Santos Laguna,Guadalajara Chivas,1,1,0,1,D
23,2022,2022-07-17,U.N.A.M. - Pumas,Necaxa,1,0,1,0,H
24,2022,2022-07-17,Atletico San Luis,Monterrey,0,1,0,0,A
25,2022,2022-07-18,Tigres UANL,Club Tijuana,1,0,0,1,H
26,2022,2022-07-19,Pachuca,Mazatlán,1,1,0,1,D
27,2022,2022-07-21,Guadalajara Chivas,Leon,0,0,0,0,D
28,2022,2022-07-22,Club Queretaro,Monterrey,0,3,0,0,A
29,2022,2022-07-23,Mazatlán,Atletico San Luis,1,1,1,0,D
30,2022,2022-07-23,Necaxa,FC Juarez,1,0,1,0,H
31,2022,2022-07-23,Toluca,Santos Laguna,2,1,2,0,H
32,2022,2022-07-24,Cruz Azul,Puebla,2,2,2,0,D
33,2022,2022-07-24,Club Tijuana,Club America,2,0,1,1,H
34,2022,2022-07-24,Tigres UANL,Atlas,2,0,2,0,H
35,2022,2022-07-25,Pachuca,U.N.A.M. - Pumas,0,0,0,0,D
36,2022,2022-07-27,Monterrey,Puebla,1,0,1,0,H
37,2022,2022-07-27,Atlas,Club Tijuana,1,2,1,0,A
38,2022,2022-07-27,FC Juarez,Tigres UANL,0,1,0,0,A
39,2022,2022-07-27,Leon,Toluca,0,1,0,0,A
40,2022,2022-07-27,Atletico San Luis,Cruz Azul,0,0,0,0,D
41,2022,2022-07-28,Necaxa,Pachuca,2,0,1,1,H
42,2022,2022-07-28,Club Queretaro,Guadalajara Chivas,2,2,1,1,D
43,2022,2022-07-28,U.N.A.M. - Pumas,Mazatlán,1,1,0,1,D
44,2022,2022-07-30,FC Juarez,Toluca,1,1,0,1,D
45,2022,2022-07-30,Cruz Azul,Necaxa,1,0,1,0,H
46,2022,2022-07-31,Tigres UANL,Club Queretaro,2,1,1,1,H
47,2022,2022-07-31,Guadalajara Chivas,Pachuca,0,0,0,0,D
48,2022,2022-07-31,Club Tijuana,Mazatlán,2,0,0,2,H
49,2022,2022-07-31,Puebla,Atletico San Luis,0,0,0,0,D
50,2022,2022-07-31,U.N.A.M. - Pumas,Monterrey,1,1,1,0,D
51,2022,2022-08-01,Santos Laguna,Atlas,1,0,0,1,H
52,2022,2022-08-01,Leon,Club America,3,2,1,2,H
53,2022,2022-08-03,Toluca,Puebla,1,1,0,1,D
