,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1418,bundesliga_2,2022,2023-04-30,Fortuna Dusseldorf,Karlsruher SC,3,2,1,2,H
1419,bundesliga_2,2022,2023-04-30,SV Sandhausen,Jahn Regensburg,2,1,1,1,H
1420,bundesliga_2,2022,2023-04-30,Holstein Kiel,SV Darmstadt 98,0,3,0,0,A
1421,bundesliga_2,2022,2023-05-05,Hamburger SV,SC Paderborn 07,2,2,1,1,D
1422,bundesliga_2,2022,2023-05-05,Arminia Bielefeld,SpVgg Greuther Furth,1,1,1,0,D
1423,bundesliga_2,2022,2023-05-06,Fortuna Dusseldorf,Holstein Kiel,3,0,3,0,H
1424,bundesliga_2,2022,2023-05-06,Karlsruher SC,Hannover 96,2,1,2,0,H
1425,bundesliga_2,2022,2023-05-06,Hansa Rostock,Jahn Regensburg,2,0,1,1,H
1426,bundesliga_2,2022,2023-05-06,SV Darmstadt 98,FC St. Pauli,0,3,0,0,A
1427,bundesliga_2,2022,2023-05-07,FC Nurnberg,FC Kaiserslautern,3,3,2,1,D
1428,bundesliga_2,2022,2023-05-07,FC Heidenheim,FC Magdeburg,0,0,0,0,D
1429,bundesliga_2,2022,2023-05-07,Eintracht Braunschweig,SV Sandhausen,2,1,0,2,H
1430,bundesliga_2,2022,2023-05-12,FC Magdeburg,FC Nurnberg,2,2,1,1,D
1431,bundesliga_2,2022,2023-05-12,SV Sandhausen,Hansa Rostock,1,2,0,1,A
1432,bundesliga_2,2022,2023-05-13,SpVgg Greuther Furth,Eintracht Braunschweig,2,2,1,1,D
1433,bundesliga_2,2022,2023-05-13,Holstein Kiel,Karlsruher SC,2,1,1,1,H
1434,bundesliga_2,2022,2023-05-13,FC Kaiserslautern,Arminia Bielefeld,1,2,0,1,A
1435,bundesliga_2,2022,2023-05-13,FC St. Pauli,Fortuna Dusseldorf,0,0,0,0,D
1436,bundesliga_2,2022,2023-05-14,Hannover 96,SV Darmstadt 98,2,1,2,0,H
1437,bundesliga_2,2022,2023-05-14,Jahn Regensburg,Hamburger SV,1,5,0,1,A
1438,bundesliga_2,2022,2023-05-14,SC Paderborn 07,FC Heidenheim,3,2,1,2,H
1439,bundesliga_2,2022,2023-05-19,SV Darmstadt 98,FC Magdeburg,1,0,1,0,H
1440,bundesliga_2,2022,2023-05-19,Holstein Kiel,FC St. Pauli,3,4,1,2,A
1441,bundesliga_2,2022,2023-05-20,FC Heidenheim,SV Sandhausen,1,0,0,1,H
1442,bundesliga_2,2022,2023-05-20,Arminia Bielefeld,SC Paderborn 07,2,2,2,0,D
1443,bundesliga_2,2022,2023-05-20,Eintracht Braunschweig,Jahn Regensburg,1,2,1,0,A
1444,bundesliga_2,2022,2023-05-20,Hamburger SV,SpVgg Greuther Furth,2,1,1,1,H
1445,bundesliga_2,2022,2023-05-21,Fortuna Dusseldorf,Hannover 96,3,3,1,2,D
1446,bundesliga_2,2022,2023-05-21,FC Nurnberg,Hansa Rostock,0,0,0,0,D
1447,bundesliga_2,2022,2023-05-21,Karlsruher SC,FC Kaiserslautern,2,0,0,2,H
