,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
956,2024,2024-05-10,Sarmiento Junin,Instituto Cordoba,1,2,0,1,A
957,2024,2024-05-11,Newells Old Boys,Platense,2,0,0,2,H
958,2024,2024-05-11,Argentinos JRS,Rosario Central,3,2,2,1,H
959,2024,2024-05-11,Huracan,Defensa Y Justicia,3,1,1,2,H
960,2024,2024-05-11,Godoy Cruz,Barracas Central,0,1,0,0,A
961,2024,2024-05-11,Independiente,Talleres Cordoba,1,3,1,0,A
962,2024,2024-05-11,River Plate,Central Cordoba de Santiago,3,0,2,1,H
963,2024,2024-05-12,Tigre,Estudiantes L.P.,0,1,0,0,A
964,2024,2024-05-12,Deportivo Riestra,San Lorenzo,1,0,1,0,H
965,2024,2024-05-12,Belgrano Cordoba,Racing Club,4,4,1,3,D
966,2024,2024-05-12,Lanus,Independ. Rivadavia,0,2,0,0,A
967,2024,2024-05-12,Atletico Tucuman,Boca Juniors,1,0,1,0,H
968,2024,2024-05-13,Gimnasia L.P.,Velez Sarsfield,3,1,1,2,H
969,2024,2024-05-14,Union Santa Fe,Banfield,1,0,0,1,H
970,2024,2024-05-18,Independ. Rivadavia,Godoy Cruz,0,0,0,0,D
971,2024,2024-05-18,River Plate,Belgrano Cordoba,3,0,1,2,H
972,2024,2024-05-18,Defensa Y Justicia,Gimnasia L.P.,1,1,0,1,D
973,2024,2024-05-18,Instituto Cordoba,Union Santa Fe,1,1,1,0,D
974,2024,2024-05-19,Barracas Central,Sarmiento Junin,1,1,1,0,D
975,2024,2024-05-19,Platense,Independiente,0,0,0,0,D
976,2024,2024-05-19,Banfield,Huracan,1,1,0,1,D
977,2024,2024-05-19,Talleres Cordoba,Atletico Tucuman,2,0,1,1,H
978,2024,2024-05-19,Central Cordoba de Santiago,Boca Juniors,2,4,2,0,A
979,2024,2024-05-20,Estudiantes L.P.,Deportivo Riestra,2,0,1,1,H
980,2024,2024-05-20,San Lorenzo,Lanus,1,1,0,1,D
981,2024,2024-05-21,Racing Club,Argentinos JRS,3,0,1,2,H
982,2024,2024-05-21,Rosario Central,Tigre,1,1,0,1,D
983,2024,2024-05-21,Velez Sarsfield,Newells Old Boys,1,0,1,0,H
984,2024,2024-05-24,Deportivo Riestra,Rosario Central,0,2,0,0,A
985,2024,2024-05-24,Tigre,Racing Club,0,4,0,0,A
986,2024,2024-05-25,Belgrano Cordoba,Central Cordoba de Santiago,2,1,0,2,H
987,2024,2024-05-25,Lanus,Estudiantes L.P.,2,1,0,2,H
988,2024,2024-05-25,Argentinos JRS,River Plate,1,0,1,0,H
989,2024,2024-05-25,Newells Old Boys,Defensa Y Justicia,1,0,0,1,H
990,2024,2024-05-25,Boca Juniors,Talleres Cordoba,0,0,0,0,D
991,2024,2024-05-26,Huracan,Instituto Cordoba,1,0,0,1,H
992,2024,2024-05-26,Sarmiento Junin,Independ. Rivadavia,0,1,0,0,A
993,2024,2024-05-26,Gimnasia L.P.,Banfield,3,0,0,3,H
994,2024,2024-05-26,Independiente,Velez Sarsfield,1,1,0,1,D
