,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1413,2025,2025-02-16,Racing Club,Argentinos JRS,2,3,0,2,A
1414,2025,2025-02-16,Newells Old Boys,Rosario Central,1,2,0,1,A
1415,2025,2025-02-16,River Plate,Lanus,1,0,0,1,H
1416,2025,2025-02-17,Huracan,Union Santa Fe,1,0,0,1,H
1417,2025,2025-02-17,Talleres Cordoba,Atletico Tucuman,1,1,0,1,D
1418,2025,2025-02-17,Gimnasia L.P.,San Martin S.J.,1,0,1,0,H
1419,2025,2025-02-17,Sarmiento Junin,Deportivo Riestra,2,1,0,2,H
1420,2025,2025-02-17,Platense,Independiente,1,1,0,1,D
1421,2025,2025-02-18,Velez Sarsfield,Godoy Cruz,0,2,0,0,A
1422,2025,2025-02-18,Instituto Cordoba,San Lorenzo,0,1,0,0,A
1423,2025,2025-02-21,Deportivo Riestra,Talleres Cordoba,0,0,0,0,D
1424,2025,2025-02-21,Godoy Cruz,Platense,1,1,0,1,D
1425,2025,2025-02-21,Estudiantes L.P.,Central Cordoba de Santiago,3,2,0,3,H
1426,2025,2025-02-22,Lanus,Velez Sarsfield,0,0,0,0,D
1427,2025,2025-02-22,Independiente,Instituto Cordoba,2,0,0,2,H
1428,2025,2025-02-22,Boca Juniors,Aldosivi,2,1,0,2,H
1429,2025,2025-02-23,San Martin S.J.,River Plate,0,2,0,0,A
1430,2025,2025-02-23,Rosario Central,Sarmiento Junin,1,0,1,0,H
1431,2025,2025-02-23,Huracan,San Lorenzo,2,0,1,1,H
1432,2025,2025-02-24,Belgrano Cordoba,Defensa Y Justicia,2,0,1,1,H
1433,2025,2025-02-24,Atletico Tucuman,Gimnasia L.P.,0,1,0,0,A
1434,2025,2025-02-24,Barracas Central,Newells Old Boys,2,0,1,1,H
1435,2025,2025-02-24,Argentinos JRS,Independ. Rivadavia,0,0,0,0,D
1436,2025,2025-02-25,Tigre,Banfield,1,0,0,1,H
1437,2025,2025-02-28,Boca Juniors,Rosario Central,1,0,1,0,H
1438,2025,2025-03-01,San Martin S.J.,Belgrano Cordoba,3,1,0,3,H
1439,2025,2025-03-01,Central Cordoba de Santiago,Deportivo Riestra,0,0,0,0,D
1440,2025,2025-03-01,Aldosivi,Sarmiento Junin,2,2,2,0,D
1441,2025,2025-03-01,River Plate,Estudiantes L.P.,0,2,0,0,A
1442,2025,2025-03-02,Union Santa Fe,Gimnasia L.P.,1,0,0,1,H
1443,2025,2025-03-02,Talleres Cordoba,Tigre,1,2,1,0,A
1444,2025,2025-03-02,Argentinos JRS,Instituto Cordoba,2,0,0,2,H
1445,2025,2025-03-02,Independ. Rivadavia,Lanus,1,1,0,1,D
1446,2025,2025-03-02,Velez Sarsfield,Huracan,0,2,0,0,A
1447,2025,2025-03-03,Barracas Central,Godoy Cruz,1,2,0,1,A
1448,2025,2025-03-03,San Lorenzo,Racing Club,3,2,1,2,H
