,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
15,2024-08-02,Falkirk,Queen's Park,2,1,1,1,H
16,2024-08-03,Hamilton Academical,Ayr Utd,0,2,0,0,A
17,2024-08-03,Livingston,Dunfermline,2,0,0,2,H
18,2024-08-03,Partick,Morton,0,0,0,0,D
19,2024-08-03,Airdrie United,Raith Rovers,1,0,0,1,H
20,2024-08-09,Ayr Utd,Airdrie United,5,0,2,3,H
21,2024-08-09,Queen's Park,Livingston,1,1,1,0,D
22,2024-08-10,Morton,Hamilton Academical,0,0,0,0,D
23,2024-08-10,Raith Rovers,Partick,1,0,1,0,H
24,2024-08-10,Dunfermline,Falkirk,0,2,0,0,A
25,2024-08-17,Ayr Utd,Hamilton Academical,3,2,1,2,H
26,2024-08-24,Hamilton Academical,Dunfermline,1,0,1,0,H
27,2024-08-24,Livingston,Morton,1,1,0,1,D
28,2024-08-24,Ayr Utd,Raith Rovers,2,0,1,1,H
29,2024-08-24,Falkirk,Partick,2,1,0,2,H
30,2024-08-24,Airdrie United,Queen's Park,0,2,0,0,A
31,2024-08-31,Hamilton Academical,Airdrie United,2,2,0,2,D
32,2024-08-31,Partick,Queen's Park,3,0,1,2,H
33,2024-08-31,Morton,Falkirk,2,3,2,0,A
34,2024-08-31,Raith Rovers,Livingston,0,1,0,0,A
35,2024-08-31,Dunfermline,Ayr Utd,1,1,1,0,D
36,2024-09-13,Dunfermline,Raith Rovers,2,0,0,2,H
37,2024-09-14,Livingston,Hamilton Academical,3,0,0,3,H
38,2024-09-14,Ayr Utd,Partick,1,1,1,0,D
39,2024-09-14,Airdrie United,Falkirk,0,2,0,0,A
40,2024-09-14,Queen's Park,Morton,1,0,1,0,H
41,2024-09-21,Partick,Dunfermline,1,0,0,1,H
42,2024-09-21,Morton,Airdrie United,2,0,1,1,H
43,2024-09-21,Raith Rovers,Hamilton Academical,3,3,2,1,D
44,2024-09-21,Queen's Park,Ayr Utd,1,1,1,0,D
45,2024-09-28,Hamilton Academical,Partick,1,0,0,1,H
46,2024-09-28,Livingston,Airdrie United,2,1,1,1,H
47,2024-09-28,Raith Rovers,Falkirk,1,0,1,0,H
48,2024-09-28,Ayr Utd,Morton,1,0,0,1,H
49,2024-09-28,Dunfermline,Queen's Park,1,2,0,1,A
50,2024-10-05,Partick,Livingston,0,0,0,0,D
51,2024-10-05,Morton,Raith Rovers,2,0,0,2,H
52,2024-10-05,Falkirk,Ayr Utd,2,0,1,1,H
53,2024-10-05,Airdrie United,Dunfermline,1,1,0,1,D
54,2024-10-05,Queen's Park,Hamilton Academical,1,0,0,1,H
55,2024-10-08,Falkirk,Livingston,0,0,0,0,D
56,2024-10-12,Partick,Falkirk,1,1,0,1,D
57,2024-10-18,Hamilton Academical,Falkirk,1,3,0,1,A
58,2024-10-19,Partick,Airdrie United,2,1,1,1,H
59,2024-10-19,Raith Rovers,Queen's Park,1,1,1,0,D
60,2024-10-19,Ayr Utd,Livingston,1,2,1,0,A
61,2024-10-19,Dunfermline,Morton,0,0,0,0,D
62,2024-10-26,Hamilton Academical,Morton,3,0,0,3,H
63,2024-10-26,Livingston,Raith Rovers,2,1,0,2,H
64,2024-10-26,Falkirk,Dunfermline,2,1,1,1,H
65,2024-10-26,Airdrie United,Ayr Utd,0,1,0,0,A
66,2024-10-26,Queen's Park,Partick,0,1,0,0,A
67,2024-10-29,Morton,Queen's Park,0,1,0,0,A
68,2024-10-29,Raith Rovers,Airdrie United,1,0,1,0,H
69,2024-10-29,Dunfermline,Livingston,3,0,1,2,H
70,2024-11-01,Raith Rovers,Ayr Utd,2,0,2,0,H
