,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
693,2025,2025-02-15,Pohang Steelers,Daejeon Citizen,0,3,0,0,A
694,2025,2025-02-15,Jeju United FC,FC Seoul,2,0,1,1,H
695,2025,2025-02-15,Gwangju FC,Suwon City FC,0,0,0,0,D
696,2025,2025-02-16,Ulsan Hyundai FC,FC Anyang,0,1,0,0,A
697,2025,2025-02-16,Daegu FC,Gangwon FC,2,1,0,2,H
698,2025,2025-02-16,Jeonbuk Motors,Gimcheon Sangmu FC,2,1,1,1,H
699,2025,2025-02-22,Jeju United FC,Gimcheon Sangmu FC,2,3,1,1,A
700,2025,2025-02-22,Daegu FC,Suwon City FC,3,1,1,2,H
701,2025,2025-02-22,FC Seoul,FC Anyang,2,1,0,2,H
702,2025,2025-02-23,Daejeon Citizen,Ulsan Hyundai FC,0,2,0,0,A
703,2025,2025-02-23,Gangwon FC,Pohang Steelers,2,1,0,2,H
704,2025,2025-02-23,Jeonbuk Motors,Gwangju FC,2,2,1,1,D
705,2025,2025-03-01,Ulsan Hyundai FC,Jeonbuk Motors,1,0,0,1,H
706,2025,2025-03-01,Gwangju FC,FC Anyang,2,1,0,2,H
707,2025,2025-03-01,Pohang Steelers,Daegu FC,0,0,0,0,D
708,2025,2025-03-02,Daejeon Citizen,Suwon City FC,1,0,0,1,H
709,2025,2025-03-02,Gangwon FC,Jeju United FC,0,0,0,0,D
710,2025,2025-03-03,FC Seoul,Gimcheon Sangmu FC,0,0,0,0,D
711,2025,2025-03-08,Suwon City FC,FC Seoul,0,0,0,0,D
712,2025,2025-03-08,Daegu FC,Daejeon Citizen,1,2,0,1,A
713,2025,2025-03-08,FC Anyang,Gimcheon Sangmu FC,1,3,1,0,A
714,2025,2025-03-09,Ulsan Hyundai FC,Jeju United FC,2,0,1,1,H
715,2025,2025-03-09,Jeonbuk Motors,Gangwon FC,0,1,0,0,A
716,2025,2025-03-15,Jeju United FC,Daejeon Citizen,1,3,0,1,A
717,2025,2025-03-15,Gangwon FC,FC Seoul,0,1,0,0,A
718,2025,2025-03-15,Daegu FC,FC Anyang,0,1,0,0,A
719,2025,2025-03-16,Suwon City FC,Ulsan Hyundai FC,1,1,1,0,D
720,2025,2025-03-16,Jeonbuk Motors,Pohang Steelers,2,2,2,0,D
721,2025,2025-03-16,Gimcheon Sangmu FC,Gwangju FC,0,0,0,0,D
722,2025,2025-03-22,Gwangju FC,Pohang Steelers,2,3,1,1,A
723,2025,2025-03-29,FC Seoul,Daegu FC,3,2,1,2,H
724,2025,2025-03-29,Daejeon Citizen,Gwangju FC,1,1,0,1,D
725,2025,2025-03-29,Pohang Steelers,Ulsan Hyundai FC,1,0,0,1,H
726,2025,2025-03-30,Jeju United FC,Suwon City FC,1,0,1,0,H
727,2025,2025-03-30,FC Anyang,Jeonbuk Motors,0,1,0,0,A
728,2025,2025-03-30,Gimcheon Sangmu FC,Gangwon FC,1,0,0,1,H
729,2025,2025-04-01,Ulsan Hyundai FC,Daejeon Citizen,2,3,2,0,A
730,2025,2025-04-05,Ulsan Hyundai FC,FC Seoul,0,0,0,0,D
731,2025,2025-04-05,Daejeon Citizen,Jeonbuk Motors,0,2,0,0,A
732,2025,2025-04-05,Gimcheon Sangmu FC,Daegu FC,2,0,2,0,H
733,2025,2025-04-05,Suwon City FC,Pohang Steelers,1,1,1,0,D
734,2025,2025-04-06,FC Anyang,Gangwon FC,2,0,0,2,H
735,2025,2025-04-06,Gwangju FC,Jeju United FC,1,0,0,1,H
736,2025,2025-04-09,Gwangju FC,Daegu FC,2,1,2,0,H
737,2025,2025-04-12,Suwon City FC,Gimcheon Sangmu FC,3,2,1,2,H
738,2025,2025-04-12,Pohang Steelers,FC Anyang,2,1,0,2,H
739,2025,2025-04-12,FC Seoul,Daejeon Citizen,2,2,0,2,D
740,2025,2025-04-13,Gangwon FC,Gwangju FC,1,0,1,0,H
741,2025,2025-04-13,Daegu FC,Ulsan Hyundai FC,0,1,0,0,A
742,2025,2025-04-13,Jeonbuk Motors,Jeju United FC,1,1,0,1,D
743,2025,2025-04-19,Ulsan Hyundai FC,Gangwon FC,1,2,1,0,A
744,2025,2025-04-19,FC Anyang,Suwon City FC,3,1,1,2,H
745,2025,2025-04-19,Gimcheon Sangmu FC,Daejeon Citizen,0,2,0,0,A
746,2025,2025-04-19,FC Seoul,Gwangju FC,1,2,0,1,A
747,2025,2025-04-20,Jeju United FC,Pohang Steelers,2,0,1,1,H
748,2025,2025-04-20,Jeonbuk Motors,Daegu FC,3,1,3,0,H
749,2025,2025-04-23,FC Anyang,Ulsan Hyundai FC,0,1,0,0,A
750,2025,2025-04-26,Suwon City FC,Jeonbuk Motors,1,2,0,1,A
751,2025,2025-04-26,FC Anyang,Jeju United FC,2,1,1,1,H
752,2025,2025-04-27,Pohang Steelers,FC Seoul,1,0,1,0,H
753,2025,2025-04-27,Daejeon Citizen,Gangwon FC,1,0,0,1,H
754,2025,2025-04-27,Gimcheon Sangmu FC,Ulsan Hyundai FC,2,0,1,1,H
755,2025,2025-05-02,Pohang Steelers,Gimcheon Sangmu FC,1,2,0,1,A
756,2025,2025-05-02,Ulsan Hyundai FC,Gwangju FC,3,0,1,2,H
757,2025,2025-05-03,Daegu FC,Jeju United FC,3,1,2,1,H
758,2025,2025-05-03,Daejeon Citizen,FC Anyang,2,1,1,1,H
759,2025,2025-05-03,Gangwon FC,Suwon City FC,0,0,0,0,D
760,2025,2025-05-03,FC Seoul,Jeonbuk Motors,0,1,0,0,A
761,2025,2025-05-05,Gwangju FC,Gimcheon Sangmu FC,1,0,1,0,H
762,2025,2025-05-05,Ulsan Hyundai FC,Pohang Steelers,1,1,1,0,D
763,2025,2025-05-06,Jeonbuk Motors,Daejeon Citizen,1,1,0,1,D
764,2025,2025-05-06,Jeju United FC,Gangwon FC,0,3,0,0,A
765,2025,2025-05-06,FC Anyang,FC Seoul,1,1,0,1,D
766,2025,2025-05-06,Suwon City FC,Daegu FC,2,1,1,1,H
767,2025,2025-05-10,Pohang Steelers,Suwon City FC,2,0,1,1,H
768,2025,2025-05-10,FC Anyang,Daegu FC,2,2,0,2,D
769,2025,2025-05-10,Daejeon Citizen,FC Seoul,0,0,0,0,D
770,2025,2025-05-11,Jeju United FC,Ulsan Hyundai FC,1,2,0,1,A
771,2025,2025-05-11,Gangwon FC,Gimcheon Sangmu FC,0,4,0,0,A
772,2025,2025-05-11,Gwangju FC,Jeonbuk Motors,0,1,0,0,A
773,2025,2025-05-17,Jeonbuk Motors,FC Anyang,2,0,2,0,H
774,2025,2025-05-17,Gangwon FC,Ulsan Hyundai FC,1,1,0,1,D
775,2025,2025-05-17,Gimcheon Sangmu FC,Jeju United FC,1,1,0,1,D
776,2025,2025-05-18,Daegu FC,FC Seoul,0,1,0,0,A
777,2025,2025-05-18,Pohang Steelers,Gwangju FC,0,1,0,0,A
778,2025,2025-05-18,Suwon City FC,Daejeon Citizen,3,0,0,3,H
779,2025,2025-05-23,FC Anyang,Pohang Steelers,0,2,0,0,A
780,2025,2025-05-23,Jeju United FC,Jeonbuk Motors,0,0,0,0,D
781,2025,2025-05-24,FC Seoul,Suwon City FC,1,1,1,0,D
782,2025,2025-05-24,Daejeon Citizen,Daegu FC,2,1,1,1,H
783,2025,2025-05-24,Ulsan Hyundai FC,Gimcheon Sangmu FC,3,2,0,3,H
784,2025,2025-05-25,Gwangju FC,Gangwon FC,0,1,0,0,A
785,2025,2025-05-27,Daegu FC,Jeonbuk Motors,0,4,0,0,A
786,2025,2025-05-27,Daejeon Citizen,Pohang Steelers,1,3,1,0,A
787,2025,2025-05-27,Suwon City FC,Jeju United FC,0,1,0,0,A
788,2025,2025-05-28,Gangwon FC,FC Anyang,1,3,0,1,A
789,2025,2025-05-28,Gwangju FC,Ulsan Hyundai FC,1,1,1,0,D
790,2025,2025-05-28,Gimcheon Sangmu FC,FC Seoul,0,1,0,0,A
791,2025,2025-05-31,FC Anyang,Daejeon Citizen,1,1,0,1,D
