,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,2022,2022-02-19,Jeonbuk Motors,Suwon City FC,1,0,0,1,H
1,2022,2022-02-19,Daegu FC,FC Seoul,0,2,0,0,A
2,2022,2022-02-19,Incheon United,Suwon Bluewings,1,0,0,1,H
3,2022,2022-02-20,Gangwon FC,Seongnam FC,2,0,0,2,H
4,2022,2022-02-20,Jeju United FC,Pohang Steelers,0,3,0,0,A
5,2022,2022-02-20,Ulsan Hyundai FC,Sangju Sangmu FC,0,0,0,0,D
6,2022,2022-02-26,Incheon United,FC Seoul,1,1,1,0,D
7,2022,2022-02-26,Suwon Bluewings,Suwon City FC,1,0,1,0,H
8,2022,2022-02-26,Seongnam FC,Ulsan Hyundai FC,0,2,0,0,A
9,2022,2022-02-26,Jeju United FC,Gangwon FC,0,0,0,0,D
10,2022,2022-02-27,Sangju Sangmu FC,Pohang Steelers,3,2,2,1,H
11,2022,2022-02-27,Daegu FC,Jeonbuk Motors,1,1,0,1,D
12,2022,2022-03-01,Suwon Bluewings,Jeju United FC,0,1,0,0,A
13,2022,2022-03-01,Ulsan Hyundai FC,Suwon City FC,2,1,1,1,H
14,2022,2022-03-01,Gangwon FC,Incheon United,0,1,0,0,A
15,2022,2022-03-01,Seongnam FC,FC Seoul,0,0,0,0,D
16,2022,2022-03-02,Jeonbuk Motors,Pohang Steelers,0,1,0,0,A
17,2022,2022-03-02,Daegu FC,Sangju Sangmu FC,1,0,1,0,H
18,2022,2022-03-05,Seongnam FC,Suwon Bluewings,2,2,0,2,D
19,2022,2022-03-05,Gangwon FC,Daegu FC,2,0,0,2,H
20,2022,2022-03-05,Incheon United,Pohang Steelers,0,1,0,0,A
21,2022,2022-03-06,Sangju Sangmu FC,FC Seoul,2,0,0,2,H
22,2022,2022-03-06,Jeju United FC,Suwon City FC,0,0,0,0,D
23,2022,2022-03-06,Jeonbuk Motors,Ulsan Hyundai FC,0,1,0,0,A
24,2022,2022-03-11,Daegu FC,Seongnam FC,3,1,1,2,H
25,2022,2022-03-11,Ulsan Hyundai FC,FC Seoul,2,1,0,2,H
26,2022,2022-03-12,Jeju United FC,Jeonbuk Motors,2,0,1,1,H
27,2022,2022-03-12,Suwon Bluewings,Pohang Steelers,1,1,0,1,D
28,2022,2022-03-13,Incheon United,Sangju Sangmu FC,1,0,1,0,H
29,2022,2022-03-13,Gangwon FC,Suwon City FC,0,2,0,0,A
30,2022,2022-03-19,Suwon Bluewings,Gangwon FC,2,2,0,2,D
31,2022,2022-03-19,FC Seoul,Jeju United FC,1,2,0,1,A
32,2022,2022-03-19,Jeonbuk Motors,Sangju Sangmu FC,1,1,0,1,D
33,2022,2022-03-20,Suwon City FC,Daegu FC,4,3,2,2,H
34,2022,2022-03-20,Seongnam FC,Incheon United,0,1,0,0,A
35,2022,2022-03-27,Ulsan Hyundai FC,Pohang Steelers,2,0,0,2,H
36,2022,2022-04-02,Jeju United FC,Daegu FC,0,0,0,0,D
37,2022,2022-04-02,Incheon United,Ulsan Hyundai FC,1,1,0,1,D
38,2022,2022-04-02,Sangju Sangmu FC,Suwon Bluewings,1,1,1,0,D
39,2022,2022-04-02,Gangwon FC,Jeonbuk Motors,1,2,0,1,A
40,2022,2022-04-03,Suwon City FC,Seongnam FC,3,4,1,2,A
41,2022,2022-04-03,Pohang Steelers,FC Seoul,1,1,1,0,D
42,2022,2022-04-05,Suwon Bluewings,Jeonbuk Motors,0,1,0,0,A
43,2022,2022-04-05,Daegu FC,Incheon United,1,2,0,1,A
44,2022,2022-04-05,Jeju United FC,Ulsan Hyundai FC,1,2,1,0,A
45,2022,2022-04-06,Seongnam FC,Sangju Sangmu FC,0,3,0,0,A
46,2022,2022-04-06,Pohang Steelers,Suwon City FC,2,0,1,1,H
47,2022,2022-04-06,FC Seoul,Gangwon FC,2,2,0,2,D
48,2022,2022-04-09,Seongnam FC,Jeonbuk Motors,0,4,0,0,A
49,2022,2022-04-09,Ulsan Hyundai FC,Daegu FC,3,1,0,3,H
50,2022,2022-04-10,Gangwon FC,Pohang Steelers,1,1,0,1,D
51,2022,2022-04-10,Suwon City FC,Sangju Sangmu FC,3,2,2,1,H
52,2022,2022-04-10,Incheon United,Jeju United FC,2,2,2,0,D
53,2022,2022-04-10,FC Seoul,Suwon Bluewings,2,0,0,2,H
54,2022,2022-05-05,Seongnam FC,Jeju United FC,1,2,1,0,A
55,2022,2022-05-05,Jeonbuk Motors,FC Seoul,1,1,0,1,D
56,2022,2022-05-05,Pohang Steelers,Daegu FC,1,1,0,1,D
57,2022,2022-05-05,Suwon Bluewings,Ulsan Hyundai FC,1,0,0,1,H
58,2022,2022-05-05,Suwon City FC,Incheon United,2,2,1,1,D
59,2022,2022-05-05,Sangju Sangmu FC,Gangwon FC,1,0,0,1,H
60,2022,2022-05-08,Gangwon FC,Ulsan Hyundai FC,1,3,1,0,A
61,2022,2022-05-08,Daegu FC,Suwon Bluewings,3,0,1,2,H
62,2022,2022-05-08,Incheon United,Jeonbuk Motors,0,1,0,0,A
63,2022,2022-05-08,FC Seoul,Suwon City FC,3,1,0,3,H
64,2022,2022-05-08,Jeju United FC,Sangju Sangmu FC,3,1,1,2,H
65,2022,2022-05-08,Pohang Steelers,Seongnam FC,1,0,0,1,H
66,2022,2022-05-14,Sangju Sangmu FC,Daegu FC,1,1,1,0,D
67,2022,2022-05-14,Suwon Bluewings,Seongnam FC,1,0,0,1,H
