league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Championship,2025,2025-08-08,Birmingham,Ipswich,1,1,0,0,D
Championship,2025,2025-08-09,Southampton,Wrexham,2,1,0,1,H
Championship,2025,2025-08-09,Charlton,Watford,1,0,0,0,H
Championship,2025,2025-08-09,Coventry,Hull City,0,0,0,0,D
Championship,2025,2025-08-09,West Brom,Blackburn,1,0,1,0,H
Championship,2025,2025-08-09,Middlesbrough,Swansea,1,0,0,0,H
Championship,2025,2025-08-09,Norwich,Millwall,1,2,0,0,A
Championship,2025,2025-08-09,QPR,Preston,1,1,1,0,D
Championship,2025,2025-08-09,Stoke City,Derby,3,1,0,0,H
Championship,2025,2025-08-09,Oxford United,Portsmouth,0,1,0,1,A
Championship,2025,2025-08-09,Sheffield Utd,Bristol City,1,4,1,2,A
Championship,2025,2025-08-10,Leicester,Sheffield Wednesday,2,1,0,1,H
Championship,2025,2025-08-16,Derby,Coventry,3,5,2,2,A
Championship,2025,2025-08-16,Portsmouth,Norwich,1,2,0,2,A
Championship,2025,2025-08-16,Wrexham,West Brom,2,3,1,1,A
Championship,2025,2025-08-16,Watford,QPR,2,1,2,1,H
Championship,2025,2025-08-16,Bristol City,Charlton,0,0,0,0,D
Championship,2025,2025-08-16,Millwall,Middlesbrough,0,3,0,0,A
Championship,2025,2025-08-16,Preston,Leicester,2,1,1,0,H
Championship,2025,2025-08-16,Blackburn,Birmingham,1,2,0,0,A
Championship,2025,2025-08-16,Sheffield Wednesday,Stoke City,0,3,0,1,A
Championship,2025,2025-08-16,Swansea,Sheffield Utd,1,0,0,0,H
Championship,2025,2025-08-17,Ipswich,Southampton,1,1,1,1,D
Championship,2025,2025-08-17,Hull City,Oxford United,3,2,2,2,H
Championship,2025,2025-08-22,Derby,Bristol City,1,1,0,1,D
Championship,2025,2025-08-23,Hull City,Blackburn,0,3,0,1,A
Championship,2025,2025-08-23,Swansea,Watford,1,1,0,1,D
Championship,2025,2025-08-23,Charlton,Leicester,0,1,0,0,A
Championship,2025,2025-08-23,Southampton,Stoke City,1,2,0,0,A
Championship,2025,2025-08-23,Birmingham,Oxford United,1,0,1,0,H
Championship,2025,2025-08-23,Preston,Ipswich,1,0,1,0,H
Championship,2025,2025-08-23,West Brom,Portsmouth,1,1,1,0,D
Championship,2025,2025-08-23,Sheffield Utd,Millwall,0,1,0,1,A
Championship,2025,2025-08-23,Norwich,Middlesbrough,1,2,0,2,A
Championship,2025,2025-08-23,Coventry,QPR,7,1,5,0,H
Championship,2025,2025-08-23,Wrexham,Sheffield Wednesday,2,2,2,0,D
Championship,2025,2025-08-29,Leicester,Birmingham,2,0,1,0,H
Championship,2025,2025-08-30,Middlesbrough,Sheffield Utd,1,0,0,0,H
Championship,2025,2025-08-30,QPR,Charlton,3,1,1,0,H
Championship,2025,2025-08-30,Stoke City,West Brom,0,1,0,1,A
Championship,2025,2025-08-30,Watford,Southampton,2,2,0,1,D
Championship,2025,2025-08-30,Bristol City,Hull City,4,2,3,1,H
Championship,2025,2025-08-30,Ipswich,Derby,2,2,1,0,D
Championship,2025,2025-08-30,Millwall,Wrexham,0,2,0,0,A
Championship,2025,2025-08-30,Blackburn,Norwich,0,2,0,1,A
Championship,2025,2025-08-30,Sheffield Wednesday,Swansea,0,2,0,0,A
Championship,2025,2025-08-30,Oxford United,Coventry,2,2,1,2,D
Championship,2025,2025-08-30,Portsmouth,Preston,1,0,1,0,H
Championship,2025,2025-09-12,Ipswich,Sheffield Utd,5,0,1,0,H
Championship,2025,2025-09-13,Preston,Middlesbrough,2,2,1,0,D
Championship,2025,2025-09-13,Charlton,Millwall,1,1,1,0,D
Championship,2025,2025-09-13,Oxford United,Leicester,2,2,2,1,D
Championship,2025,2025-09-13,Watford,Blackburn,0,1,0,0,A
Championship,2025,2025-09-13,West Brom,Derby,0,1,0,0,A
Championship,2025,2025-09-13,Sheffield Wednesday,Bristol City,0,3,0,3,A
Championship,2025,2025-09-13,Stoke City,Birmingham,1,0,1,0,H
Championship,2025,2025-09-13,Swansea,Hull City,2,2,1,1,D
Championship,2025,2025-09-13,Coventry,Norwich,1,1,0,1,D
Championship,2025,2025-09-13,Wrexham,QPR,1,3,0,2,A
Championship,2025,2025-09-14,Southampton,Portsmouth,0,0,0,0,D
Championship,2025,2025-09-19,Middlesbrough,West Brom,2,1,1,0,H
Championship,2025,2025-09-20,Leicester,Coventry,0,0,0,0,D
Championship,2025,2025-09-20,Birmingham,Swansea,1,0,0,0,H
Championship,2025,2025-09-20,QPR,Stoke City,1,0,0,0,H
Championship,2025,2025-09-20,Sheffield Utd,Charlton,0,1,0,0,A
Championship,2025,2025-09-20,Hull City,Southampton,3,1,1,0,H
Championship,2025,2025-09-20,Derby,Preston,0,1,0,1,A
Championship,2025,2025-09-20,Norwich,Wrexham,2,3,1,0,A
Championship,2025,2025-09-20,Portsmouth,Sheffield Wednesday,0,2,0,1,A
Championship,2025,2025-09-21,Bristol City,Oxford United,1,3,0,2,A
Championship,2025,2025-09-22,Millwall,Watford,1,0,1,0,H
Championship,2025,2025-09-26,West Brom,Leicester,1,1,1,0,D
Championship,2025,2025-09-27,Swansea,Millwall,1,1,1,1,D
Championship,2025,2025-09-27,Coventry,Birmingham,3,0,1,0,H
Championship,2025,2025-09-27,Wrexham,Derby,1,1,0,0,D
Championship,2025,2025-09-27,Watford,Hull City,2,1,0,1,H
Championship,2025,2025-09-27,Southampton,Middlesbrough,1,1,0,0,D
Championship,2025,2025-09-27,Ipswich,Portsmouth,2,1,2,0,H
Championship,2025,2025-09-27,Preston,Bristol City,0,0,0,0,D
