,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,2022,2022-10-18,Aswan Sc,Al Ittihad,0,1,0,0,A
1,2022,2022-10-18,National Bank of Egypt,Pharco,1,1,1,0,D
2,2022,2022-10-18,AL Masry,Ceramica Cleopatra,0,3,0,0,A
3,2022,2022-10-19,Ismaily SC,Al Ahly,0,1,0,0,A
4,2022,2022-10-19,Enppi,Pyramids FC,1,1,0,1,D
5,2022,2022-10-19,Zamalek SC,Smouha SC,2,0,0,2,H
6,2022,2022-10-20,El Mokawloon,Ghazl El Mehalla,1,1,0,1,D
7,2022,2022-10-20,Haras El Hodood,Coca-Cola,0,2,0,0,A
8,2022,2022-10-20,El Dakhleya,El Geish,0,0,0,0,D
9,2022,2022-10-23,Pyramids FC,AL Masry,0,0,0,0,D
10,2022,2022-10-23,Ceramica Cleopatra,Zamalek SC,0,2,0,0,A
11,2022,2022-10-23,Al Ahly,Aswan Sc,1,0,1,0,H
12,2022,2022-10-24,Ghazl El Mehalla,Ismaily SC,2,1,1,1,H
13,2022,2022-10-24,Al Ittihad,El Dakhleya,2,0,1,1,H
14,2022,2022-10-24,Coca-Cola,El Mokawloon,0,0,0,0,D
15,2022,2022-10-25,Smouha SC,National Bank of Egypt,1,1,1,0,D
16,2022,2022-10-25,El Geish,Enppi,2,1,1,1,H
17,2022,2022-10-26,Pharco,Haras El Hodood,1,0,0,1,H
18,2022,2022-10-29,Aswan Sc,Ghazl El Mehalla,0,1,0,0,A
19,2022,2022-10-29,AL Masry,Enppi,2,0,0,2,H
20,2022,2022-10-31,Al Ittihad,El Geish,3,1,0,3,H
21,2022,2022-10-31,El Mokawloon,Pharco,0,0,0,0,D
22,2022,2022-11-01,Haras El Hodood,Smouha SC,0,0,0,0,D
23,2022,2022-11-01,National Bank of Egypt,Ceramica Cleopatra,3,1,2,1,H
24,2022,2022-11-02,El Dakhleya,Al Ahly,1,4,1,0,A
25,2022,2022-11-02,Enppi,Zamalek SC,1,1,0,1,D
26,2022,2022-11-23,Pyramids FC,National Bank of Egypt,2,0,0,2,H
27,2022,2022-11-23,Pharco,Ismaily SC,1,1,0,1,D
28,2022,2022-11-23,Coca-Cola,Aswan Sc,2,1,0,2,H
29,2022,2022-11-30,Haras El Hodood,Pyramids FC,0,1,0,0,A
30,2022,2022-11-30,National Bank of Egypt,Enppi,2,3,0,2,A
31,2022,2022-11-30,Al Ittihad,Ghazl El Mehalla,0,2,0,0,A
32,2022,2022-12-01,El Dakhleya,Coca-Cola,0,1,0,0,A
