,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
6623,secunda,2025,2025-08-15,Valladolid,AD Ceuta FC,3,0,2,1,H
6624,secunda,2025,2025-08-15,Burgos,Cultural Leonesa,5,1,3,2,H
6625,secunda,2025,2025-08-16,Racing Santander,Castellón,3,1,2,1,H
6626,secunda,2025,2025-08-16,Malaga,Eibar,1,1,0,1,D
6627,secunda,2025,2025-08-16,Granada CF,Deportivo La Coruna,1,3,0,1,A
6628,secunda,2025,2025-08-17,Real Sociedad II,Zaragoza,1,0,1,0,H
6629,secunda,2025,2025-08-17,Cadiz,Mirandes,1,0,1,0,H
6630,secunda,2025,2025-08-17,Las Palmas,FC Andorra,1,1,1,0,D
6631,secunda,2025,2025-08-17,Huesca,Leganes,1,1,0,1,D
6632,secunda,2025,2025-08-18,Sporting Gijon,Cordoba,2,1,1,1,H
6633,secunda,2025,2025-08-18,Almeria,Albacete,4,4,1,3,D
6634,secunda,2025,2025-08-22,Eibar,Granada CF,3,0,1,2,H
6635,secunda,2025,2025-08-22,Leganes,Cadiz,1,1,1,0,D
6636,secunda,2025,2025-08-22,Castellón,Valladolid,0,1,0,0,A
6637,secunda,2025,2025-08-23,Mirandes,Huesca,0,1,0,0,A
6638,secunda,2025,2025-08-23,AD Ceuta FC,Sporting Gijon,0,1,0,0,A
6639,secunda,2025,2025-08-23,Zaragoza,FC Andorra,1,3,0,1,A
6640,secunda,2025,2025-08-24,Deportivo La Coruna,Burgos,0,0,0,0,D
6641,secunda,2025,2025-08-24,Cultural Leonesa,Almeria,0,1,0,0,A
6642,secunda,2025,2025-08-24,Malaga,Real Sociedad II,1,0,0,1,H
6643,secunda,2025,2025-08-25,Albacete,Racing Santander,2,3,0,2,A
6644,secunda,2025,2025-08-25,Cordoba,Las Palmas,1,3,0,1,A
6645,secunda,2025,2025-08-29,Real Sociedad II,Almeria,2,2,1,1,D
6646,secunda,2025,2025-08-29,Sporting Gijon,Cultural Leonesa,1,0,0,1,H
6647,secunda,2025,2025-08-30,Racing Santander,AD Ceuta FC,4,1,2,2,H
6648,secunda,2025,2025-08-30,Valladolid,Cordoba,0,0,0,0,D
6649,secunda,2025,2025-08-30,Castellón,Zaragoza,1,1,0,1,D
6650,secunda,2025,2025-08-31,Cadiz,Albacete,2,1,1,1,H
6651,secunda,2025,2025-08-31,FC Andorra,Burgos,2,1,1,1,H
6652,secunda,2025,2025-08-31,Las Palmas,Malaga,0,1,0,0,A
6653,secunda,2025,2025-08-31,Granada CF,Mirandes,1,2,0,1,A
6654,secunda,2025,2025-09-01,Huesca,Eibar,2,1,1,1,H
6655,secunda,2025,2025-09-01,Leganes,Deportivo La Coruna,2,2,2,0,D
6656,secunda,2025,2025-09-05,Albacete,Mirandes,1,4,0,1,A
6657,secunda,2025,2025-09-05,Cordoba,Castellón,2,1,0,2,H
6658,secunda,2025,2025-09-06,Deportivo La Coruna,Sporting Gijon,1,0,0,1,H
6659,secunda,2025,2025-09-06,Zaragoza,Valladolid,1,1,0,1,D
6660,secunda,2025,2025-09-06,Malaga,Granada CF,2,2,2,0,D
6661,secunda,2025,2025-09-07,AD Ceuta FC,Huesca,2,1,1,1,H
6662,secunda,2025,2025-09-07,Burgos,Las Palmas,0,0,0,0,D
6663,secunda,2025,2025-09-07,Real Sociedad II,Cadiz,3,3,1,2,D
6664,secunda,2025,2025-09-07,Almeria,Racing Santander,2,3,2,0,A
6665,secunda,2025,2025-09-07,Cultural Leonesa,Leganes,0,0,0,0,D
6666,secunda,2025,2025-09-08,Eibar,FC Andorra,2,0,0,2,H
6667,secunda,2025,2025-09-12,Las Palmas,Real Sociedad II,2,1,1,1,H
6668,secunda,2025,2025-09-13,Cadiz,Eibar,1,0,0,1,H
6669,secunda,2025,2025-09-13,Mirandes,Deportivo La Coruna,1,5,0,1,A
6670,secunda,2025,2025-09-13,Huesca,Malaga,1,0,0,1,H
6671,secunda,2025,2025-09-13,Valladolid,Almeria,3,1,1,2,H
6672,secunda,2025,2025-09-14,FC Andorra,Cordoba,3,1,2,1,H
6673,secunda,2025,2025-09-14,Racing Santander,Cultural Leonesa,2,4,0,2,A
6674,secunda,2025,2025-09-14,Sporting Gijon,Burgos,2,3,0,2,A
6675,secunda,2025,2025-09-14,Castellón,AD Ceuta FC,3,3,2,1,D
6676,secunda,2025,2025-09-14,Granada CF,Leganes,0,2,0,0,A
6677,secunda,2025,2025-09-15,Zaragoza,Albacete,0,0,0,0,D
6678,secunda,2025,2025-09-19,Deportivo La Coruna,Huesca,4,0,3,1,H
6679,secunda,2025,2025-09-20,Cultural Leonesa,Castellón,1,3,0,1,A
6680,secunda,2025,2025-09-20,Leganes,Las Palmas,0,1,0,0,A
6681,secunda,2025,2025-09-20,FC Andorra,Mirandes,1,1,1,0,D
6682,secunda,2025,2025-09-20,Almeria,Sporting Gijon,2,1,0,2,H
6683,secunda,2025,2025-09-21,AD Ceuta FC,Zaragoza,1,0,0,1,H
6684,secunda,2025,2025-09-21,Albacete,Valladolid,2,0,0,2,H
6685,secunda,2025,2025-09-21,Malaga,Cadiz,0,1,0,0,A
6686,secunda,2025,2025-09-21,Eibar,Real Sociedad II,2,1,1,1,H
6687,secunda,2025,2025-09-21,Cordoba,Racing Santander,2,2,0,2,D
6688,secunda,2025,2025-09-22,Burgos,Granada CF,1,1,0,1,D
6689,secunda,2025,2025-09-26,Mirandes,Zaragoza,0,1,0,0,A
6690,secunda,2025,2025-09-27,Eibar,Deportivo La Coruna,1,1,0,1,D
6691,secunda,2025,2025-09-27,Racing Santander,FC Andorra,1,2,0,1,A
6692,secunda,2025,2025-09-27,Las Palmas,Almeria,0,1,0,0,A
6693,secunda,2025,2025-09-28,Real Sociedad II,Cordoba,1,1,1,0,D
6694,secunda,2025,2025-09-28,Cadiz,AD Ceuta FC,0,0,0,0,D
6695,secunda,2025,2025-09-28,Burgos,Malaga,2,1,1,1,H
6696,secunda,2025,2025-09-28,Valladolid,Cultural Leonesa,0,1,0,0,A
6697,secunda,2025,2025-09-28,Sporting Gijon,Albacete,3,4,3,0,A
6698,secunda,2025,2025-09-28,Huesca,Granada CF,0,1,0,0,A
6699,secunda,2025,2025-09-29,Leganes,Castellón,0,1,0,0,A
6700,secunda,2025,2025-10-03,AD Ceuta FC,Eibar,1,0,1,0,H
6701,secunda,2025,2025-10-04,Deportivo La Coruna,Almeria,1,1,0,1,D
6702,secunda,2025,2025-10-04,Huesca,Burgos,2,1,1,1,H
6703,secunda,2025,2025-10-04,FC Andorra,Leganes,1,2,0,1,A
6704,secunda,2025,2025-10-04,Granada CF,Real Sociedad II,5,2,5,0,H
6705,secunda,2025,2025-10-05,Zaragoza,Cordoba,0,1,0,0,A
6706,secunda,2025,2025-10-05,Castellón,Sporting Gijon,3,1,2,1,H
6707,secunda,2025,2025-10-05,Valladolid,Mirandes,1,1,0,1,D
6708,secunda,2025,2025-10-05,Racing Santander,Malaga,3,0,0,3,H
6709,secunda,2025,2025-10-05,Las Palmas,Cadiz,1,0,0,1,H
6710,secunda,2025,2025-10-06,Cultural Leonesa,Albacete,0,0,0,0,D
6711,secunda,2025,2025-10-10,Granada CF,Las Palmas,0,0,0,0,D
6712,secunda,2025,2025-10-11,Mirandes,Leganes,0,0,0,0,D
6713,secunda,2025,2025-10-11,Almeria,Zaragoza,4,2,0,4,H
6714,secunda,2025,2025-10-11,Real Sociedad II,FC Andorra,3,0,1,2,H
6715,secunda,2025,2025-10-12,Albacete,AD Ceuta FC,0,0,0,0,D
6716,secunda,2025,2025-10-12,Eibar,Castellón,0,0,0,0,D
6717,secunda,2025,2025-10-12,Sporting Gijon,Racing Santander,2,1,1,1,H
6718,secunda,2025,2025-10-12,Cadiz,Huesca,1,0,0,1,H
6719,secunda,2025,2025-10-12,Burgos,Valladolid,0,1,0,0,A
6720,secunda,2025,2025-10-12,Malaga,Deportivo La Coruna,3,0,2,1,H
6721,secunda,2025,2025-10-13,Cordoba,Cultural Leonesa,1,0,1,0,H
6722,secunda,2025,2025-10-17,FC Andorra,Granada CF,0,0,0,0,D
6723,secunda,2025,2025-10-18,AD Ceuta FC,Mirandes,2,0,2,0,H
6724,secunda,2025,2025-10-18,Zaragoza,Cultural Leonesa,0,5,0,0,A
6725,secunda,2025,2025-10-19,Leganes,Malaga,2,0,1,1,H
6726,secunda,2025,2025-10-19,Valladolid,Sporting Gijon,2,3,1,1,A
6727,secunda,2025,2025-10-19,Castellón,Albacete,0,1,0,0,A
6728,secunda,2025,2025-10-19,Cordoba,Almeria,1,1,1,0,D
6729,secunda,2025,2025-10-19,Racing Santander,Deportivo La Coruna,2,1,1,1,H
6730,secunda,2025,2025-10-19,Las Palmas,Eibar,3,1,1,2,H
6731,secunda,2025,2025-10-20,Cadiz,Burgos,1,3,1,0,A
6732,secunda,2025,2025-10-24,Huesca,Las Palmas,1,1,1,0,D
