,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,2024-07-20,Lokomotiv,Akron,3,2,2,2,H
1,2024-07-20,Krylia Sovetov,Zenit,0,4,0,3,A
2,2024-07-20,FC Rostov,CSKA Moscow,0,0,0,0,D
3,2024-07-20,Dynamo,Fakel,3,1,3,0,H
4,2024-07-21,FC Orenburg,Spartak Moscow,2,0,0,0,H
5,2024-07-21,Akhmat,FC Krasnodar,1,1,1,1,D
6,2024-07-21,Khimki,Makhachkala,1,1,0,1,D
7,2024-07-22,Nizhny Novgorod,Rubin,2,4,1,3,A
8,2024-07-26,Krylia Sovetov,FC Rostov,1,3,0,1,A
9,2024-07-27,Nizhny Novgorod,CSKA Moscow,0,3,0,1,A
10,2024-07-27,Rubin,Zenit,0,4,0,2,A
11,2024-07-27,Dynamo,Lokomotiv,3,1,1,1,H
12,2024-07-27,Fakel,Akron,0,2,0,0,A
13,2024-07-28,Khimki,Spartak Moscow,1,3,0,0,A
14,2024-07-28,FC Orenburg,Akhmat,0,0,0,0,D
15,2024-07-28,FC Krasnodar,Makhachkala,0,0,0,0,D
16,2024-08-03,Akron,Dynamo,0,2,0,1,A
17,2024-08-03,Zenit,FC Rostov,5,0,4,0,H
18,2024-08-03,Rubin,Khimki,2,3,1,0,A
19,2024-08-04,CSKA Moscow,FC Orenburg,5,1,3,1,H
20,2024-08-04,Fakel,FC Krasnodar,0,0,0,0,D
21,2024-08-04,Akhmat,Lokomotiv,0,5,0,3,A
22,2024-08-04,Makhachkala,Nizhny Novgorod,0,1,0,0,A
23,2024-08-05,Spartak Moscow,Krylia Sovetov,3,0,2,0,H
24,2024-08-09,Nizhny Novgorod,Khimki,1,0,1,0,H
25,2024-08-09,FC Rostov,Rubin,1,1,1,0,D
26,2024-08-10,Lokomotiv,Makhachkala,2,0,1,0,H
27,2024-08-10,Zenit,Dynamo,1,0,0,0,H
28,2024-08-10,FC Orenburg,Akron,2,2,0,1,D
29,2024-08-10,FC Krasnodar,CSKA Moscow,2,1,1,0,H
30,2024-08-11,Krylia Sovetov,Fakel,2,0,0,0,H
31,2024-08-11,Spartak Moscow,Akhmat,0,0,0,0,D
32,2024-08-17,Dynamo,Krylia Sovetov,1,0,0,0,H
33,2024-08-17,FC Rostov,FC Orenburg,3,2,0,2,H
34,2024-08-18,Khimki,Zenit,1,1,0,0,D
35,2024-08-18,CSKA Moscow,Lokomotiv,0,1,0,0,A
